,lon,lat
Xantusia vigilis,-118.1136388,35.74704417
Xantusia vigilis,-114.3333,35.0333
Xantusia vigilis,-115.08729,36.096608
Xantusia vigilis,-120.7925269,36.64758006
Xantusia vigilis,-114.700305,35.170497
Xantusia vigilis,-117.805902,34.748388
Xantusia vigilis,-115.615593,35.46464676
Xantusia vigilis,-118.456012,35.5806589
Xantusia vigilis,-115.79009,35.40166
Xantusia vigilis,-115.1008442,36.1000786
Xantusia vigilis,-115.472861,36.129192
Xantusia vigilis,-117.3339345,34.58034412
Xantusia vigilis,-116.29992,33.13477
Xantusia vigilis,-116.455,32.99
Xantusia vigilis,-120.845378,36.730939
Xantusia vigilis,-118.433132,34.870721
Xantusia vigilis,-115.5086957,34.98135989
Xantusia vigilis,-114.786582,35.173804
Xantusia vigilis,-115.59353,35.47259
Xantusia vigilis,-118.718198,34.665618
Xantusia vigilis,-117.777226,34.78888
Xantusia vigilis,-117.824821,34.690159
Xantusia vigilis,-118.7117123,34.59073116
Xantusia vigilis,-114.007486,37.109834
Xantusia vigilis,-117.0022304,34.44942196
Xantusia vigilis,-116.838024,34.906778
Xantusia vigilis,-117.181205,34.420874
Xantusia vigilis,-114.054736,37.087445
Xantusia vigilis,-117.3320075,34.49057857
Xantusia vigilis,-117.8877904,35.35976364
Xantusia vigilis,-115.200223,36.159739
Xantusia vigilis,-116.8818125,34.43456519
Xantusia vigilis,-118.526567,34.7742
Xantusia vigilis,-118.558719,34.783806
Xantusia vigilis,-118.1855006,34.62248903
Xantusia vigilis,-115.84325,35.77083
Xantusia vigilis,-118.50546,34.68459
Xantusia vigilis,-117.3339385,34.58034412
Xantusia vigilis,-118.5833,35.5667
Xantusia vigilis,-117.878949,34.490085
Xantusia vigilis,-117.52,34.34
Xantusia vigilis,-115.270464,36.020234
Xantusia vigilis,-115.0824516,35.598567
Xantusia vigilis,-117.2928027,34.49927061
Xantusia vigilis,-115.432665,35.990121
Xantusia vigilis,-114.145369,37.179121
Xantusia vigilis,-118.091179,34.52443
Xantusia vigilis,-116.47445,33.05491
Xantusia vigilis,-118.1725221,35.08255483
Xantusia vigilis,-118.7313397,35.42549788
Xantusia vigilis,-118.17396,35.12463
Xantusia vigilis,-113.556533,36.947783
Xantusia vigilis,-114.0333,33.4167
Xantusia vigilis,-118.435392,35.72002452
Xantusia vigilis,-115.160333,36.520444
Xantusia vigilis,-115.197611,35.708214
Xantusia vigilis,-117.61975,34.761737
Xantusia vigilis,-114.891621,36.381087
Xantusia vigilis,-114.1667,33.0333
Xantusia vigilis,-118.5605,35.5781
Xantusia vigilis,-114.989696,36.446223
Xantusia vigilis,-118.2020296,35.5349769
Xantusia vigilis,-118.7978779,35.49305366
Xantusia vigilis,-118.0071734,35.66201508
Xantusia vigilis,-118.2402,35.4656
Xantusia vigilis,-115.4505958,36.11993174
Xantusia vigilis,-116.184953,36.002056
Xantusia vigilis,-115.0399,34.9124
Xantusia vigilis,-117.3046237,34.57305852
Xantusia vigilis,-117.9957893,36.67463955
Xantusia vigilis,-117.835747,34.458125
Xantusia vigilis,-118.0170767,34.32813027
Xantusia vigilis,-117.0027608,34.98032974
Xantusia vigilis,-118.450837,34.77617
Xantusia vigilis,-117.95074,35.19853
Xantusia vigilis,-115.147472,36.423694
