bclim1,bclim10,bclim11,bclim12,bclim13,bclim14,bclim15,bclim16,bclim17,bclim18,bclim19,bclim2,bclim3,bclim4,bclim5,bclim6,bclim7,bclim8,bclim9
18.48450089,28.55533218,9.199999809,322,50,4,47.48729706,111,24,85,101,15.57566643,42.96972656,803.6970215,37.97200012,1.723999977,36.2480011,28.36333275,21.37800026
15.45133305,24.77799988,6.837999821,345,61,2,74.9309845,174,19,20,172,17.00933266,46.24111938,740.8035889,35.80799866,-0.976000011,36.7840004,8.206666946,22.18666649
18.03683281,28.44933319,8.279999733,73,12,1,53.99660873,34,6,10,31,17.44566727,43.10977936,827.1107788,39.47600174,-0.991999984,40.46800232,10.33933353,25.89599991
13.93816662,22.94666672,6.18200016,292,49,2,80.58703613,147,12,19,143,14.11100006,43.75232697,694.520813,32.23600006,-0.016000001,32.2519989,6.85733366,19.58866692
16.361166,26.39999962,7.362666607,269,41,3,47.77848816,97,27,81,92,12.93966675,38.66280365,789.4512939,34.68000031,1.212000012,33.4679985,8.123332977,18.38933372
15.17416668,25.4386673,5.980666637,290,38,7,36.17395401,98,38,85,85,15.68166637,42.654953,805.7705688,35.62400055,-1.139999986,36.76399994,6.926000118,17.32733345
14.61083317,24.79599953,5.255333424,174,22,4,42.48456192,62,21,45,62,16.78633308,43.78738785,803.6922607,35.56800079,-2.767999887,38.33600235,5.255333424,17.43600082
16.0984993,25.36066628,7.481999874,244,43,2,70.47802734,123,15,17,117,17.28966713,46.4776001,738.8924561,36.5719986,-0.628000021,37.19999695,8.878000259,22.76799965
20.18933296,30.60533333,10.56733322,172,25,2,47.54679489,64,15,44,55,12.94133377,37.64204025,823.9631958,39.02799988,4.64800024,34.38000107,11.951334,23.31866646
16.44766617,25.90066719,7.719333172,225,38,2,68.17519379,110,14,18,108,17.19466591,46.02919769,751.0341187,36.97200012,-0.384000003,37.35599899,9.067333221,23.23933411
9.927499771,19.77933311,1.126666546,323,60,9,68.04184723,160,27,27,160,16.76033401,44.88573456,770.5461426,30.72800064,-6.611999989,37.34000015,1.126666546,19.77933311
20.04533386,31.45333481,9.378666878,114,16,2,44.20674515,45,11,27,41,13.93933392,36.50186539,900.1929932,40.44800186,2.25999999,38.18800354,11.42733383,24.17733383
16.18383408,25.55800056,7.662666798,203,37,2,78.62579346,106,10,16,102,14.94433308,43.18173218,743.5488281,34.99599838,0.388000011,34.60799789,8.82733345,22.73800087
